zipcode,state,county_code,name,rate_area
35976,AL,01009,Blount,3
35980,AL,01009,Blount,3
35952,AL,01009,Blount,3
35172,AL,01009,Blount,3
35063,AL,01009,Blount,3
35049,AL,01009,Blount,3
35013,AL,01009,Blount,3
35016,AL,01009,Blount,3
35031,AL,01009,Blount,3
35180,AL,01009,Blount,3
35957,AL,01009,Blount,3
36860,AL,01011,Bullock,13
36005,AL,01011,Bullock,13
36029,AL,01011,Bullock,13
36037,AL,01011,Bullock,13
36052,AL,01011,Bullock,13
36053,AL,01011,Bullock,13
36081,AL,01011,Bullock,13
36089,AL,01011,Bullock,13
36069,AL,01011,Bullock,13
36061,AL,01011,Bullock,13
36456,AL,01013,Butler,13
36474,AL,01013,Butler,13
36015,AL,01013,Butler,13
36030,AL,01013,Butler,13
36033,AL,01013,Butler,13
36032,AL,01013,Butler,13
36037,AL,01013,Butler,13
36042,AL,01013,Butler,13
36071,AL,01013,Butler,13
35096,AL,01015,Calhoun,1
35905,AL,01015,Calhoun,1
35907,AL,01015,Calhoun,1
36260,AL,01015,Calhoun,1
36257,AL,01015,Calhoun,1
36202,AL,01015,Calhoun,1
36203,AL,01015,Calhoun,1
36201,AL,01015,Calhoun,1
36265,AL,01015,Calhoun,1
36253,AL,01015,Calhoun,1
36207,AL,01015,Calhoun,1
36250,AL,01015,Calhoun,1
36271,AL,01015,Calhoun,1
36272,AL,01015,Calhoun,1
36254,AL,01015,Calhoun,1
36206,AL,01015,Calhoun,1
36205,AL,01015,Calhoun,1
36204,AL,01015,Calhoun,1
36279,AL,01015,Calhoun,1
36277,AL,01015,Calhoun,1
36879,AL,01017,Chambers,13
36804,AL,01017,Chambers,13
36852,AL,01017,Chambers,13
36863,AL,01017,Chambers,13
36854,AL,01017,Chambers,13
36862,AL,01017,Chambers,13
36801,AL,01017,Chambers,13
36276,AL,01017,Chambers,13
36274,AL,01017,Chambers,13
36850,AL,01017,Chambers,13
36855,AL,01017,Chambers,13
30165,AL,01019,Cherokee,13
35983,AL,01019,Cherokee,13
35901,AL,01019,Cherokee,13
35984,AL,01019,Cherokee,13
36275,AL,01019,Cherokee,13
36272,AL,01019,Cherokee,13
35973,AL,01019,Cherokee,13
35959,AL,01019,Cherokee,13
35960,AL,01019,Cherokee,13
35961,AL,01019,Cherokee,13
35967,AL,01019,Cherokee,13
35085,AL,01021,Chilton,3
36792,AL,01021,Chilton,3
35115,AL,01021,Chilton,3
35171,AL,01021,Chilton,3
36750,AL,01021,Chilton,3
36790,AL,01021,Chilton,3
36006,AL,01021,Chilton,3
36051,AL,01021,Chilton,3
36793,AL,01021,Chilton,3
36758,AL,01021,Chilton,3
36091,AL,01021,Chilton,3
35035,AL,01021,Chilton,3
35040,AL,01021,Chilton,3
35046,AL,01021,Chilton,3
35045,AL,01021,Chilton,3
36919,AL,01023,Choctaw,13
36908,AL,01023,Choctaw,13
36916,AL,01023,Choctaw,13
36904,AL,01023,Choctaw,13
36915,AL,01023,Choctaw,13
36910,AL,01023,Choctaw,13
36912,AL,01023,Choctaw,13
36913,AL,01023,Choctaw,13
36922,AL,01023,Choctaw,13
36921,AL,01023,Choctaw,13
36558,AL,01023,Choctaw,13
36751,AL,01025,Clarke,13
36727,AL,01025,Clarke,13
36446,AL,01025,Clarke,13
36436,AL,01025,Clarke,13
36451,AL,01025,Clarke,13
36540,AL,01025,Clarke,13
36784,AL,01025,Clarke,13
36545,AL,01025,Clarke,13
36515,AL,01025,Clarke,13
36524,AL,01025,Clarke,13
36482,AL,01025,Clarke,13
36762,AL,01025,Clarke,13
35082,AL,01027,Clay,13
35160,AL,01027,Clay,13
36258,AL,01027,Clay,13
35072,AL,01027,Clay,13
36256,AL,01027,Clay,13
36266,AL,01027,Clay,13
36251,AL,01027,Clay,13
36267,AL,01027,Clay,13
36255,AL,01027,Clay,13
36276,AL,01027,Clay,13
36258,AL,01029,Cleburne,13
36264,AL,01029,Cleburne,13
36262,AL,01029,Cleburne,13
36261,AL,01029,Cleburne,13
36269,AL,01029,Cleburne,13
36273,AL,01029,Cleburne,13
36272,AL,01029,Cleburne,13
36203,AL,01029,Cleburne,13
36331,AL,01031,Coffee,13
36351,AL,01031,Coffee,13
36453,AL,01031,Coffee,13
36346,AL,01031,Coffee,13
36467,AL,01031,Coffee,13
36010,AL,01031,Coffee,13
36009,AL,01031,Coffee,13
36477,AL,01031,Coffee,13
36079,AL,01031,Coffee,13
36311,AL,01031,Coffee,13
36316,AL,01031,Coffee,13
36318,AL,01031,Coffee,13
36330,AL,01031,Coffee,13
36322,AL,01031,Coffee,13
36323,AL,01031,Coffee,13
35662,AL,01033,Colbert,7
35653,AL,01033,Colbert,7
35674,AL,01033,Colbert,7
35654,AL,01033,Colbert,7
35661,AL,01033,Colbert,7
35660,AL,01033,Colbert,7
35672,AL,01033,Colbert,7
35616,AL,01033,Colbert,7
35646,AL,01033,Colbert,7
35582,AL,01033,Colbert,7
36473,AL,01035,Conecuh,13
36475,AL,01035,Conecuh,13
36401,AL,01035,Conecuh,13
36502,AL,01035,Conecuh,13
36460,AL,01035,Conecuh,13
36454,AL,01035,Conecuh,13
36456,AL,01035,Conecuh,13
36474,AL,01035,Conecuh,13
36033,AL,01035,Conecuh,13
36432,AL,01035,Conecuh,13
36421,AL,01035,Conecuh,13
36471,AL,01035,Conecuh,13
36426,AL,01035,Conecuh,13
36429,AL,01035,Conecuh,13
35089,AL,01037,Coosa,13
35136,AL,01037,Coosa,13
35150,AL,01037,Coosa,13
35151,AL,01037,Coosa,13
36026,AL,01037,Coosa,13
35072,AL,01037,Coosa,13
36080,AL,01037,Coosa,13
36091,AL,01037,Coosa,13
35046,AL,01037,Coosa,13
35010,AL,01037,Coosa,13
35183,AL,01037,Coosa,13
36477,AL,01039,Covington,13
36453,AL,01039,Covington,13
36456,AL,01039,Covington,13
36455,AL,01039,Covington,13
36474,AL,01039,Covington,13
36028,AL,01039,Covington,13
36038,AL,01039,Covington,13
36483,AL,01039,Covington,13
36476,AL,01039,Covington,13
36467,AL,01039,Covington,13
36421,AL,01039,Covington,13
36420,AL,01039,Covington,13
36442,AL,01039,Covington,13
36034,AL,01041,Crenshaw,13
36009,AL,01041,Crenshaw,13
36028,AL,01041,Crenshaw,13
36035,AL,01041,Crenshaw,13
36037,AL,01041,Crenshaw,13
36036,AL,01041,Crenshaw,13
36046,AL,01041,Crenshaw,13
36041,AL,01041,Crenshaw,13
36042,AL,01041,Crenshaw,13
36049,AL,01041,Crenshaw,13
36071,AL,01041,Crenshaw,13
36467,AL,01041,Crenshaw,13
36323,AL,01041,Crenshaw,13
36062,AL,01041,Crenshaw,13
35077,AL,01043,Cullman,13
35087,AL,01043,Cullman,13
35083,AL,01043,Cullman,13
35098,AL,01043,Cullman,13
35976,AL,01043,Cullman,13
35179,AL,01043,Cullman,13
35540,AL,01043,Cullman,13
35504,AL,01043,Cullman,13
35541,AL,01043,Cullman,13
35619,AL,01043,Cullman,13
35070,AL,01043,Cullman,13
35058,AL,01043,Cullman,13
35057,AL,01043,Cullman,13
35055,AL,01043,Cullman,13
35033,AL,01043,Cullman,13
35622,AL,01043,Cullman,13
35621,AL,01043,Cullman,13
35053,AL,01043,Cullman,13
35019,AL,01043,Cullman,13
35016,AL,01043,Cullman,13
35056,AL,01043,Cullman,13
35031,AL,01043,Cullman,13
36362,AL,01045,Dale,13
36303,AL,01045,Dale,13
36353,AL,01045,Dale,13
36361,AL,01045,Dale,13
36360,AL,01045,Dale,13
36371,AL,01045,Dale,13
36345,AL,01045,Dale,13
36350,AL,01045,Dale,13
36374,AL,01045,Dale,13
36010,AL,01045,Dale,13
36352,AL,01045,Dale,13
36311,AL,01045,Dale,13
36317,AL,01045,Dale,13
36322,AL,01045,Dale,13
36330,AL,01045,Dale,13
36703,AL,01047,Dallas,13
36749,AL,01047,Dallas,13
36785,AL,01047,Dallas,13
36702,AL,01047,Dallas,13
36761,AL,01047,Dallas,13
36759,AL,01047,Dallas,13
36701,AL,01047,Dallas,13
36767,AL,01047,Dallas,13
36775,AL,01047,Dallas,13
36773,AL,01047,Dallas,13
36758,AL,01047,Dallas,13
35983,AL,01049,DeKalb,13
35981,AL,01049,DeKalb,13
35951,AL,01049,DeKalb,13
35765,AL,01049,DeKalb,13
35978,AL,01049,DeKalb,13
35979,AL,01049,DeKalb,13
35771,AL,01049,DeKalb,13
35988,AL,01049,DeKalb,13
35989,AL,01049,DeKalb,13
35986,AL,01049,DeKalb,13
35984,AL,01049,DeKalb,13
35974,AL,01049,DeKalb,13
35954,AL,01049,DeKalb,13
35957,AL,01049,DeKalb,13
35971,AL,01049,DeKalb,13
35962,AL,01049,DeKalb,13
35959,AL,01049,DeKalb,13
35961,AL,01049,DeKalb,13
35968,AL,01049,DeKalb,13
35963,AL,01049,DeKalb,13
35967,AL,01049,DeKalb,13
35966,AL,01049,DeKalb,13
35975,AL,01049,DeKalb,13
36054,AL,01051,Elmore,11
36026,AL,01051,Elmore,11
36020,AL,01051,Elmore,11
36022,AL,01051,Elmore,11
36025,AL,01051,Elmore,11
36024,AL,01051,Elmore,11
36045,AL,01051,Elmore,11
36051,AL,01051,Elmore,11
36078,AL,01051,Elmore,11
36080,AL,01051,Elmore,11
36093,AL,01051,Elmore,11
36092,AL,01051,Elmore,11
35010,AL,01051,Elmore,11
36067,AL,01051,Elmore,11
36066,AL,01051,Elmore,11
36562,AL,01053,Escambia,13
36483,AL,01053,Escambia,13
36504,AL,01053,Escambia,13
36502,AL,01053,Escambia,13
36503,AL,01053,Escambia,13
36543,AL,01053,Escambia,13
36432,AL,01053,Escambia,13
36401,AL,01053,Escambia,13
36420,AL,01053,Escambia,13
36441,AL,01053,Escambia,13
36421,AL,01053,Escambia,13
36427,AL,01053,Escambia,13
36426,AL,01053,Escambia,13
35121,AL,01055,Etowah,8
35907,AL,01055,Etowah,8
35904,AL,01055,Etowah,8
35903,AL,01055,Etowah,8
35902,AL,01055,Etowah,8
35901,AL,01055,Etowah,8
35906,AL,01055,Etowah,8
35905,AL,01055,Etowah,8
35990,AL,01055,Etowah,8
36271,AL,01055,Etowah,8
36272,AL,01055,Etowah,8
35952,AL,01055,Etowah,8
35954,AL,01055,Etowah,8
35956,AL,01055,Etowah,8
35961,AL,01055,Etowah,8
35972,AL,01055,Etowah,8
35574,AL,01057,Fayette,13
35542,AL,01057,Fayette,13
35545,AL,01057,Fayette,13
35546,AL,01057,Fayette,13
35549,AL,01057,Fayette,13
35554,AL,01057,Fayette,13
35594,AL,01057,Fayette,13
35555,AL,01057,Fayette,13
35563,AL,01057,Fayette,13
35559,AL,01057,Fayette,13
35579,AL,01057,Fayette,13
35571,AL,01059,Franklin,13
35651,AL,01059,Franklin,13
35653,AL,01059,Franklin,13
35654,AL,01059,Franklin,13
35565,AL,01059,Franklin,13
35593,AL,01059,Franklin,13
35581,AL,01059,Franklin,13
35582,AL,01059,Franklin,13
35585,AL,01059,Franklin,13
36477,AL,01061,Geneva,6
36340,AL,01061,Geneva,6
36349,AL,01061,Geneva,6
36344,AL,01061,Geneva,6
36453,AL,01061,Geneva,6
36375,AL,01061,Geneva,6
36352,AL,01061,Geneva,6
36442,AL,01061,Geneva,6
36313,AL,01061,Geneva,6
36314,AL,01061,Geneva,6
36316,AL,01061,Geneva,6
36318,AL,01061,Geneva,6
36322,AL,01061,Geneva,6
36305,AL,01061,Geneva,6
36301,AL,01061,Geneva,6
35480,AL,01063,Greene,12
35491,AL,01063,Greene,12
35469,AL,01063,Greene,12
35462,AL,01063,Greene,12
35463,AL,01063,Greene,12
35464,AL,01063,Greene,12
35442,AL,01063,Greene,12
35443,AL,01063,Greene,12
35448,AL,01063,Greene,12
36740,AL,01063,Greene,12
36786,AL,01065,Hale,12
35474,AL,01065,Hale,12
36776,AL,01065,Hale,12
36756,AL,01065,Hale,12
35441,AL,01065,Hale,12
36765,AL,01065,Hale,12
36742,AL,01065,Hale,12
36744,AL,01065,Hale,12
36353,AL,01067,Henry,6
36373,AL,01067,Henry,6
36345,AL,01067,Henry,6
36016,AL,01067,Henry,6
36319,AL,01067,Henry,6
36317,AL,01067,Henry,6
36310,AL,01067,Henry,6
36351,AL,01067,Henry,6
36303,AL,01067,Henry,6
36343,AL,01069,Houston,6
36352,AL,01069,Houston,6
36376,AL,01069,Houston,6
36370,AL,01069,Houston,6
36350,AL,01069,Houston,6
36345,AL,01069,Houston,6
36375,AL,01069,Houston,6
36303,AL,01069,Houston,6
36304,AL,01069,Houston,6
36312,AL,01069,Houston,6
36305,AL,01069,Houston,6
36320,AL,01069,Houston,6
36319,AL,01069,Houston,6
36321,AL,01069,Houston,6
36301,AL,01069,Houston,6
36302,AL,01069,Houston,6
36322,AL,01069,Houston,6
35765,AL,01071,Jackson,13
35766,AL,01071,Jackson,13
35764,AL,01071,Jackson,13
35769,AL,01071,Jackson,13
35979,AL,01071,Jackson,13
35978,AL,01071,Jackson,13
35768,AL,01071,Jackson,13
35771,AL,01071,Jackson,13
35776,AL,01071,Jackson,13
35772,AL,01071,Jackson,13
35774,AL,01071,Jackson,13
35745,AL,01071,Jackson,13
35740,AL,01071,Jackson,13
35744,AL,01071,Jackson,13
35748,AL,01071,Jackson,13
35746,AL,01071,Jackson,13
35751,AL,01071,Jackson,13
35752,AL,01071,Jackson,13
35755,AL,01071,Jackson,13
35958,AL,01071,Jackson,13
35966,AL,01071,Jackson,13
35073,AL,01073,Jefferson,3
35079,AL,01073,Jefferson,3
35094,AL,01073,Jefferson,3
35091,AL,01073,Jefferson,3
35111,AL,01073,Jefferson,3
35117,AL,01073,Jefferson,3
35116,AL,01073,Jefferson,3
35118,AL,01073,Jefferson,3
35119,AL,01073,Jefferson,3
35123,AL,01073,Jefferson,3
35126,AL,01073,Jefferson,3
35130,AL,01073,Jefferson,3
35127,AL,01073,Jefferson,3
35142,AL,01073,Jefferson,3
35139,AL,01073,Jefferson,3
35148,AL,01073,Jefferson,3
35146,AL,01073,Jefferson,3
35226,AL,01073,Jefferson,3
35173,AL,01073,Jefferson,3
35172,AL,01073,Jefferson,3
35209,AL,01073,Jefferson,3
35071,AL,01073,Jefferson,3
35222,AL,01073,Jefferson,3
35218,AL,01073,Jefferson,3
35217,AL,01073,Jefferson,3
35210,AL,01073,Jefferson,3
35212,AL,01073,Jefferson,3
35211,AL,01073,Jefferson,3
35213,AL,01073,Jefferson,3
35216,AL,01073,Jefferson,3
35215,AL,01073,Jefferson,3
35214,AL,01073,Jefferson,3
35061,AL,01073,Jefferson,3
35221,AL,01073,Jefferson,3
35060,AL,01073,Jefferson,3
35068,AL,01073,Jefferson,3
35220,AL,01073,Jefferson,3
35063,AL,01073,Jefferson,3
35062,AL,01073,Jefferson,3
35064,AL,01073,Jefferson,3
35219,AL,01073,Jefferson,3
35021,AL,01073,Jefferson,3
35020,AL,01073,Jefferson,3
35229,AL,01073,Jefferson,3
35228,AL,01073,Jefferson,3
35036,AL,01073,Jefferson,3
35224,AL,01073,Jefferson,3
35048,AL,01073,Jefferson,3
35223,AL,01073,Jefferson,3
35208,AL,01073,Jefferson,3
35244,AL,01073,Jefferson,3
35234,AL,01073,Jefferson,3
35233,AL,01073,Jefferson,3
35232,AL,01073,Jefferson,3
35231,AL,01073,Jefferson,3
35288,AL,01073,Jefferson,3
35237,AL,01073,Jefferson,3
35236,AL,01073,Jefferson,3
35235,AL,01073,Jefferson,3
35243,AL,01073,Jefferson,3
35242,AL,01073,Jefferson,3
35287,AL,01073,Jefferson,3
35259,AL,01073,Jefferson,3
35246,AL,01073,Jefferson,3
35255,AL,01073,Jefferson,3
35249,AL,01073,Jefferson,3
35254,AL,01073,Jefferson,3
35253,AL,01073,Jefferson,3
35285,AL,01073,Jefferson,3
35261,AL,01073,Jefferson,3
35260,AL,01073,Jefferson,3
35266,AL,01073,Jefferson,3
35283,AL,01073,Jefferson,3
35282,AL,01073,Jefferson,3
35270,AL,01073,Jefferson,3
35298,AL,01073,Jefferson,3
35293,AL,01073,Jefferson,3
35292,AL,01073,Jefferson,3
35290,AL,01073,Jefferson,3
35291,AL,01073,Jefferson,3
35297,AL,01073,Jefferson,3
35295,AL,01073,Jefferson,3
35294,AL,01073,Jefferson,3
35296,AL,01073,Jefferson,3
35005,AL,01073,Jefferson,3
35006,AL,01073,Jefferson,3
35015,AL,01073,Jefferson,3
35207,AL,01073,Jefferson,3
35206,AL,01073,Jefferson,3
35444,AL,01073,Jefferson,3
35180,AL,01073,Jefferson,3
35023,AL,01073,Jefferson,3
35181,AL,01073,Jefferson,3
35022,AL,01073,Jefferson,3
35204,AL,01073,Jefferson,3
35203,AL,01073,Jefferson,3
35202,AL,01073,Jefferson,3
35201,AL,01073,Jefferson,3
35205,AL,01073,Jefferson,3
35570,AL,01075,Lamar,13
35574,AL,01075,Lamar,13
35544,AL,01075,Lamar,13
35481,AL,01075,Lamar,13
35552,AL,01075,Lamar,13
35592,AL,01075,Lamar,13
35555,AL,01075,Lamar,13
35563,AL,01075,Lamar,13
35586,AL,01075,Lamar,13
35576,AL,01075,Lamar,13
35652,AL,01077,Lauderdale,7
35677,AL,01077,Lauderdale,7
35617,AL,01077,Lauderdale,7
35610,AL,01077,Lauderdale,7
35648,AL,01077,Lauderdale,7
35645,AL,01077,Lauderdale,7
35630,AL,01077,Lauderdale,7
35633,AL,01077,Lauderdale,7
35631,AL,01077,Lauderdale,7
35632,AL,01077,Lauderdale,7
35634,AL,01077,Lauderdale,7
35651,AL,01079,Lawrence,5
35540,AL,01079,Lawrence,5
35650,AL,01079,Lawrence,5
35618,AL,01079,Lawrence,5
35653,AL,01079,Lawrence,5
35654,AL,01079,Lawrence,5
35672,AL,01079,Lawrence,5
35673,AL,01079,Lawrence,5
35603,AL,01079,Lawrence,5
35619,AL,01079,Lawrence,5
35643,AL,01079,Lawrence,5
36877,AL,01081,Lee,2
36866,AL,01081,Lee,2
36879,AL,01081,Lee,2
36854,AL,01081,Lee,2
36804,AL,01081,Lee,2
36865,AL,01081,Lee,2
36832,AL,01081,Lee,2
36831,AL,01081,Lee,2
36852,AL,01081,Lee,2
36830,AL,01081,Lee,2
36874,AL,01081,Lee,2
36801,AL,01081,Lee,2
36870,AL,01081,Lee,2
36872,AL,01081,Lee,2
36802,AL,01081,Lee,2
36803,AL,01081,Lee,2
36867,AL,01081,Lee,2
36850,AL,01081,Lee,2
36849,AL,01081,Lee,2
35773,AL,01083,Limestone,9
35758,AL,01083,Limestone,9
35652,AL,01083,Limestone,9
35739,AL,01083,Limestone,9
35742,AL,01083,Limestone,9
35671,AL,01083,Limestone,9
35749,AL,01083,Limestone,9
35756,AL,01083,Limestone,9
35757,AL,01083,Limestone,9
35615,AL,01083,Limestone,9
35614,AL,01083,Limestone,9
35613,AL,01083,Limestone,9
35611,AL,01083,Limestone,9
35610,AL,01083,Limestone,9
35612,AL,01083,Limestone,9
35620,AL,01083,Limestone,9
35647,AL,01083,Limestone,9
35649,AL,01083,Limestone,9
36785,AL,01085,Lowndes,11
36752,AL,01085,Lowndes,11
36761,AL,01085,Lowndes,11
36032,AL,01085,Lowndes,11
36040,AL,01085,Lowndes,11
36043,AL,01085,Lowndes,11
36047,AL,01085,Lowndes,11
36775,AL,01085,Lowndes,11
36804,AL,01087,Macon,13
36860,AL,01087,Macon,13
36830,AL,01087,Macon,13
36013,AL,01087,Macon,13
36029,AL,01087,Macon,13
36031,AL,01087,Macon,13
36039,AL,01087,Macon,13
36866,AL,01087,Macon,13
36801,AL,01087,Macon,13
36075,AL,01087,Macon,13
36078,AL,01087,Macon,13
36087,AL,01087,Macon,13
36083,AL,01087,Macon,13
36088,AL,01087,Macon,13
35759,AL,01089,Madison,9
35767,AL,01089,Madison,9
35760,AL,01089,Madison,9
35761,AL,01089,Madison,9
35762,AL,01089,Madison,9
35763,AL,01089,Madison,9
35816,AL,01089,Madison,9
35773,AL,01089,Madison,9
35806,AL,01089,Madison,9
35801,AL,01089,Madison,9
35776,AL,01089,Madison,9
35805,AL,01089,Madison,9
35802,AL,01089,Madison,9
35815,AL,01089,Madison,9
35804,AL,01089,Madison,9
35803,AL,01089,Madison,9
35807,AL,01089,Madison,9
35808,AL,01089,Madison,9
35814,AL,01089,Madison,9
35810,AL,01089,Madison,9
35813,AL,01089,Madison,9
35809,AL,01089,Madison,9
35812,AL,01089,Madison,9
35811,AL,01089,Madison,9
35894,AL,01089,Madison,9
35824,AL,01089,Madison,9
35893,AL,01089,Madison,9
35895,AL,01089,Madison,9
35897,AL,01089,Madison,9
35898,AL,01089,Madison,9
35896,AL,01089,Madison,9
35899,AL,01089,Madison,9
35758,AL,01089,Madison,9
35739,AL,01089,Madison,9
35741,AL,01089,Madison,9
35748,AL,01089,Madison,9
35750,AL,01089,Madison,9
35749,AL,01089,Madison,9
35756,AL,01089,Madison,9
35757,AL,01089,Madison,9
36784,AL,01091,Marengo,13
36736,AL,01091,Marengo,13
36732,AL,01091,Marengo,13
36786,AL,01091,Marengo,13
36748,AL,01091,Marengo,13
36773,AL,01091,Marengo,13
36745,AL,01091,Marengo,13
36782,AL,01091,Marengo,13
36783,AL,01091,Marengo,13
36754,AL,01091,Marengo,13
36763,AL,01091,Marengo,13
36738,AL,01091,Marengo,13
36764,AL,01091,Marengo,13
36742,AL,01091,Marengo,13
35565,AL,01093,Marion,13
35570,AL,01093,Marion,13
35571,AL,01093,Marion,13
35543,AL,01093,Marion,13
35548,AL,01093,Marion,13
35552,AL,01093,Marion,13
35594,AL,01093,Marion,13
35593,AL,01093,Marion,13
35554,AL,01093,Marion,13
35563,AL,01093,Marion,13
35564,AL,01093,Marion,13
35581,AL,01093,Marion,13
35087,AL,01095,Marshall,13
35951,AL,01095,Marshall,13
35565,AL,01095,Marshall,13
35950,AL,01095,Marshall,13
35760,AL,01095,Marshall,13
35976,AL,01095,Marshall,13
35952,AL,01095,Marshall,13
35980,AL,01095,Marshall,13
35769,AL,01095,Marshall,13
35776,AL,01095,Marshall,13
35975,AL,01095,Marshall,13
35747,AL,01095,Marshall,13
35755,AL,01095,Marshall,13
35754,AL,01095,Marshall,13
35031,AL,01095,Marshall,13
35016,AL,01095,Marshall,13
35956,AL,01095,Marshall,13
35957,AL,01095,Marshall,13
35964,AL,01095,Marshall,13
35962,AL,01095,Marshall,13
35175,AL,01095,Marshall,13
36628,AL,01097,Mobile,10
36560,AL,01097,Mobile,10
36601,AL,01097,Mobile,10
36505,AL,01097,Mobile,10
36568,AL,01097,Mobile,10
36572,AL,01097,Mobile,10
36571,AL,01097,Mobile,10
36575,AL,01097,Mobile,10
36609,AL,01097,Mobile,10
36587,AL,01097,Mobile,10
36582,AL,01097,Mobile,10
36528,AL,01097,Mobile,10
36695,AL,01097,Mobile,10
36619,AL,01097,Mobile,10
36590,AL,01097,Mobile,10
36675,AL,01097,Mobile,10
36608,AL,01097,Mobile,10
36604,AL,01097,Mobile,10
36641,AL,01097,Mobile,10
36663,AL,01097,Mobile,10
36603,AL,01097,Mobile,10
36640,AL,01097,Mobile,10
36602,AL,01097,Mobile,10
36671,AL,01097,Mobile,10
36630,AL,01097,Mobile,10
36607,AL,01097,Mobile,10
36670,AL,01097,Mobile,10
36633,AL,01097,Mobile,10
36605,AL,01097,Mobile,10
36606,AL,01097,Mobile,10
36612,AL,01097,Mobile,10
36541,AL,01097,Mobile,10
36611,AL,01097,Mobile,10
36610,AL,01097,Mobile,10
36617,AL,01097,Mobile,10
36512,AL,01097,Mobile,10
36509,AL,01097,Mobile,10
36616,AL,01097,Mobile,10
36615,AL,01097,Mobile,10
36544,AL,01097,Mobile,10
36660,AL,01097,Mobile,10
36618,AL,01097,Mobile,10
36613,AL,01097,Mobile,10
36693,AL,01097,Mobile,10
36691,AL,01097,Mobile,10
36521,AL,01097,Mobile,10
36685,AL,01097,Mobile,10
36644,AL,01097,Mobile,10
36689,AL,01097,Mobile,10
36652,AL,01097,Mobile,10
36688,AL,01097,Mobile,10
36523,AL,01097,Mobile,10
36525,AL,01097,Mobile,10
36522,AL,01097,Mobile,10
36481,AL,01099,Monroe,13
36460,AL,01099,Monroe,13
36439,AL,01099,Monroe,13
36445,AL,01099,Monroe,13
36502,AL,01099,Monroe,13
36449,AL,01099,Monroe,13
36458,AL,01099,Monroe,13
36480,AL,01099,Monroe,13
36457,AL,01099,Monroe,13
36751,AL,01099,Monroe,13
36033,AL,01099,Monroe,13
36471,AL,01099,Monroe,13
36461,AL,01099,Monroe,13
36444,AL,01099,Monroe,13
35593,AL,01099,Monroe,13
36425,AL,01099,Monroe,13
36401,AL,01099,Monroe,13
36482,AL,01099,Monroe,13
36470,AL,01099,Monroe,13
36475,AL,01099,Monroe,13
36054,AL,01101,Montgomery,11
36013,AL,01101,Montgomery,11
36029,AL,01101,Montgomery,11
36046,AL,01101,Montgomery,11
36036,AL,01101,Montgomery,11
36041,AL,01101,Montgomery,11
36043,AL,01101,Montgomery,11
36047,AL,01101,Montgomery,11
36052,AL,01101,Montgomery,11
36069,AL,01101,Montgomery,11
36104,AL,01101,Montgomery,11
36105,AL,01101,Montgomery,11
36134,AL,01101,Montgomery,11
36103,AL,01101,Montgomery,11
36102,AL,01101,Montgomery,11
36101,AL,01101,Montgomery,11
36116,AL,01101,Montgomery,11
36108,AL,01101,Montgomery,11
36107,AL,01101,Montgomery,11
36106,AL,01101,Montgomery,11
36132,AL,01101,Montgomery,11
36115,AL,01101,Montgomery,11
36111,AL,01101,Montgomery,11
36110,AL,01101,Montgomery,11
36109,AL,01101,Montgomery,11
36114,AL,01101,Montgomery,11
36112,AL,01101,Montgomery,11
